round,seed_a,team_a,seed_b,team_b,p_team_a_win,winner,winner_seed,slot_a,slot_b,team_a_elo,team_b_elo
First Four,61,South Florida Bulls,68,Seton Hall Pirates,0.4637298485149443,Seton Hall Pirates,68,0,1,1605.0,1566.0
First Four,62,Grand Canyon Antelopes,67,Colorado Buffaloes,0.48175747613612835,Colorado Buffaloes,67,2,3,1597.0,1570.0
First Four,63,Southern California Trojans,66,Xavier Musketeers,0.721364139490485,Southern California Trojans,63,4,5,1591.0,1577.0
First Four,64,Miami (Ohio) Redhawks,65,Nevada Wolf Pack,0.8648672895615568,Miami (Ohio) Redhawks,64,6,7,1587.0,1581.0
Round of 64,1,Duke Blue Devils,64,Seton Hall Pirates,0.8823838502253296,Duke Blue Devils,1,0,1,2128.0,1566.0
Round of 64,2,Florida Gators,63,Colorado Buffaloes,0.866944654235295,Florida Gators,2,2,3,2088.0,1570.0
Round of 64,3,Michigan Wolverines,62,Miami (Ohio) Redhawks,0.4980711576491226,Miami (Ohio) Redhawks,62,4,5,2064.0,1587.0
Round of 64,4,Houston Cougars,61,Southern California Trojans,0.8306488465511537,Houston Cougars,4,6,7,2058.0,1591.0
Round of 64,5,Arizona Wildcats,60,Marquette Golden Eagles,0.9302069716459839,Arizona Wildcats,5,8,9,2056.0,1606.0
Round of 64,6,Connecticut Huskies,59,Akron Zips,0.6508806833574968,Connecticut Huskies,6,10,11,2044.0,1614.0
Round of 64,7,Saint John`s Red Storm,58,Yale Bulldogs,0.48878496617860634,Yale Bulldogs,58,12,13,1992.0,1616.0
Round of 64,8,Alabama Crimson Tide,57,Boise State Broncos,0.7543342925985081,Alabama Crimson Tide,8,14,15,1966.0,1617.0
Round of 64,9,Michigan State Spartans,56,Colorado State Rams,0.7756363625768854,Michigan State Spartans,9,16,17,1947.0,1618.0
Round of 64,10,Gonzaga Bulldogs,55,West Virginia Mountaineers,0.8916681360664894,Gonzaga Bulldogs,10,18,19,1934.0,1622.0
Round of 64,11,Purdue Boilermakers,54,Miami (Fla.) Hurricanes,0.49156649661335944,Miami (Fla.) Hurricanes,54,20,21,1923.0,1626.0
Round of 64,12,Texas Tech Red Raiders,53,Baylor Bears,0.8387160193386682,Texas Tech Red Raiders,12,22,23,1919.0,1634.0
Round of 64,13,Tennessee Volunteers,52,Creighton Bluejays,0.8450041216302419,Tennessee Volunteers,13,24,25,1904.0,1640.0
Round of 64,14,Illinois Fighting Illini,51,Dayton Flyers,0.7224132552552399,Illinois Fighting Illini,14,26,27,1899.0,1641.0
Round of 64,15,Iowa State Cyclones,50,SMU Mustangs,0.814919434735003,Iowa State Cyclones,15,28,29,1874.0,1644.0
Round of 64,16,Kansas Jayhawks,49,North Carolina State Wolfpack,0.5553625052471503,Kansas Jayhawks,16,30,31,1856.0,1654.0
Round of 64,17,Nebraska Cornhuskers,48,Belmont Bruins,0.42230530787142834,Belmont Bruins,48,32,33,1855.0,1656.0
Round of 64,18,Saint Mary`s Gaels,47,Saint Louis Billikens,0.4713891774176731,Saint Louis Billikens,47,34,35,1849.0,1659.0
Round of 64,19,Arkansas Razorbacks,46,Oklahoma Sooners,0.7985388509649051,Arkansas Razorbacks,19,36,37,1833.0,1660.0
Round of 64,20,Kentucky Wildcats,45,TCU Horned Frogs,0.4611158585563886,TCU Horned Frogs,45,38,39,1809.0,1677.0
Round of 64,21,Wisconsin Badgers,44,Indiana Hoosiers,0.5937199800428865,Wisconsin Badgers,21,40,41,1799.0,1679.0
Round of 64,22,Villanova Wildcats,43,Santa Clara Broncos,0.4498284178876965,Santa Clara Broncos,43,42,43,1798.0,1684.0
Round of 64,23,North Carolina Tar Heels,42,Virginia Commonwealth Rams,0.5234282726749285,North Carolina Tar Heels,23,44,45,1796.0,1687.0
Round of 64,24,Vanderbilt Commodores,41,Cincinnati Bearcats,0.8122884234938272,Vanderbilt Commodores,24,46,47,1792.0,1696.0
Round of 64,25,BYU Cougars,40,Ohio State Buckeyes,0.5373483761669414,BYU Cougars,25,48,49,1781.0,1700.0
Round of 64,26,Virginia Cavaliers,39,San Diego State Aztecs,0.6838720534712471,Virginia Cavaliers,26,50,51,1780.0,1704.0
Round of 64,27,Louisville Cardinals,38,UCF Knights,0.40094412881785296,UCF Knights,38,52,53,1765.0,1705.0
Round of 64,28,Utah State Aggies,37,Georgia Bulldogs,0.6172039038341325,Utah State Aggies,28,54,55,1764.0,1715.0
