round,seed_a,team_a,seed_b,team_b,p_team_a_win,winner,winner_seed,slot_a,slot_b,team_a_elo,team_b_elo
First Four,61,Ball State Cardinals,68,Texas A&amp;M Aggies,0.8685885073454046,Ball State Cardinals,61,0,1,1692.0,1651.0
First Four,62,Marquette Golden Eagles,67,Miami (Fla.) Hurricanes,0.5670514691916565,Marquette Golden Eagles,62,2,3,1686.0,1657.0
First Four,63,Rhode Island Rams,66,Georgia Tech Yellow Jackets,0.9260230470645306,Rhode Island Rams,63,4,5,1675.0,1661.0
First Four,64,James Madison Dukes,65,San Diego State Aztecs,0.4143075401773754,San Diego State Aztecs,65,6,7,1674.0,1667.0
Round of 64,1,Connecticut Huskies,64,San Diego State Aztecs,0.9241887653191623,Connecticut Huskies,1,0,1,2506.0,1667.0
Round of 64,2,South Carolina Gamecocks,63,Rhode Island Rams,0.8886403759293561,South Carolina Gamecocks,2,2,3,2435.0,1675.0
Round of 64,3,UCLA Bruins,62,Marquette Golden Eagles,0.9383367933409117,UCLA Bruins,3,4,5,2348.0,1686.0
Round of 64,4,Texas Longhorns,61,Ball State Cardinals,0.8593124938005811,Texas Longhorns,4,6,7,2305.0,1692.0
Round of 64,5,LSU Tigers,60,BYU Cougars,0.9210464752743289,LSU Tigers,5,8,9,2209.0,1694.0
Round of 64,6,Iowa Hawkeyes,59,Florida Gators,0.8806708823593973,Iowa Hawkeyes,6,10,11,2118.0,1701.0
Round of 64,7,Duke Blue Devils,58,Fairfield Stags,0.3175307863569627,Fairfield Stags,58,12,13,2112.0,1704.0
Round of 64,8,Louisville Cardinals,57,Stanford Cardinal,0.8676630829337602,Louisville Cardinals,8,14,15,2091.0,1708.0
Round of 64,9,TCU Lady Frogs,56,Rice Owls,0.6508558322504038,TCU Lady Frogs,9,16,17,2084.0,1712.0
Round of 64,10,Michigan Wolverines,55,Seton Hall Pirates,0.8747896576235968,Michigan Wolverines,10,18,19,2081.0,1717.0
Round of 64,11,Ohio State Buckeyes,54,Kansas State Wildcats,0.8961855202300716,Ohio State Buckeyes,11,20,21,2081.0,1722.0
Round of 64,12,Oklahoma Sooners,53,Kansas Jayhawks,0.7715298082267678,Oklahoma Sooners,12,22,23,2065.0,1723.0
Round of 64,13,North Carolina Tar Heels,52,Murray State Racers,0.3316398452597633,Murray State Racers,52,24,25,2058.0,1729.0
Round of 64,14,Vanderbilt Commodores,51,Gonzaga Bulldogs,0.8542198056658874,Vanderbilt Commodores,14,26,27,2047.0,1729.0
Round of 64,15,Southern California Trojans,50,Utah Utes,0.5455722672441375,Southern California Trojans,15,28,29,2043.0,1730.0
Round of 64,16,North Carolina State Wolfpack,49,Mississippi State Lady Bulldogs,0.676951851062947,North Carolina State Wolfpack,16,30,31,2006.0,1734.0
Round of 64,17,Maryland Terrapins,48,Virginia Cavaliers,0.661651100859824,Maryland Terrapins,17,32,33,1989.0,1741.0
Round of 64,18,Notre Dame Fightin` Irish,47,George Mason Patriots,0.6110106653236856,Notre Dame Fightin` Irish,18,34,35,1982.0,1743.0
Round of 64,19,West Virginia Mountaineers,46,Creighton Bluejays,0.8843835882286903,West Virginia Mountaineers,19,36,37,1980.0,1744.0
Round of 64,20,Baylor Lady Bears,45,California Golden Bears,0.8490389510072287,Baylor Lady Bears,20,38,39,1978.0,1754.0
Round of 64,21,Mississippi Rebels,44,Clemson Lady Tigers,0.5739176974928294,Mississippi Rebels,21,40,41,1932.0,1756.0
